Logged: DigitalWellbeing | Duration: 00:00:02.0257828
Logged: Microsoft Visual Studio | Duration: 00:00:01.0052077
Logged: Google Chrome | Duration: 00:00:01.0121219
Logged: Google Chrome | Duration: 00:01:51.9632946
Logged: Run | Duration: 00:00:02.0166499
Logged: Notepad | Duration: 00:00:03.0255948
Logged: Unknown | Duration: 00:00:01.0067241
Logged: Jump List for Notepad | Duration: 00:00:01.0136311
Logged: Notepad | Duration: 00:00:02.0063364
Logged: Google Chrome | Duration: 00:00:05.0639504
Logged: Microsoft Visual Studio | Duration: 00:00:04.0167242
Logged: DigitalWellbeing | Duration: 00:00:07.0591384
Logged: Microsoft Visual Studio | Duration: 00:00:03.0185937
Logged: Task Switching | Duration: 00:00:01.0109465
Logged: Notepad | Duration: 00:00:03.0337379
Logged: Microsoft Visual Studio | Duration: 00:00:36.3665449
